#CODE;;ENGLISH;ENGLISH;
########################################;;;;
#Norwegian;;;;
########################################;;;;
PROV271;;Vestfold;;c_vestfold
PROV272;;Vingulmörk;;c_akershus
PROV296;;Ránríki;;c_viken
PROV270;;Þelamørk;;c_telemark
PROV268;;Egðafylki;;c_agder
PROV274;;Horðaland;;c_bergenshus
PROV269;;Rygjafylki;;c_rogaland
PROV391;;Norðmœri;;c_nordland
PROV275;;Strindafylki;;c_trondelag
PROV278;;Hálogaland;;c_halogaland
PROV277;;Naumdœlfylki;;c_naumadal
PROV389;;Finnmörk;;Finnmárku,c_finnmark
PROV276;;Heiðmørk;;c_hedmark
PROV282;;Jamtaland;;c_jamtland
PROV284;;Herjárdalr;;c_herjedalen
PROV273;;Hringaríki;;c_oppland
########################################;;;;
#Danish;;;;
########################################;;;;
PROV264;;Sliesvík;;Schleswig,c_slesvig
PROV265;;Fyun;;c_fyn
PROV266;;Østær Syäland;;c_sjaelland
PROV267;;Ábúsýsl;;c_jylland
PROV305;;Burghændæholm;;c_bornholm,Borgundarhólmi
PROV303;;Væstær Skaane;;c_skane
PROV6;;Blekyng;;c_blekinge
########################################;;;;
#Swedish;;;;
########################################;;;;
PROV298;;Njudung;;c_smaland
PROV294;;Nerike;;c_narke,Nerke,Nerike
PROV297;;Lödöse;;Lødøse,c_vastergotland
PROV288;;Värmilland;;Værmland,Vermland,c_varmland
PROV285;;Alir;;c_halsingland
PROV283;;Sunded;;c_medelpad
PROV280;;Norrland;;c_vasterbotten,Norlanti
PROV290;;Tiundaland;;c_uppland
########################################;;;;
#Polish;;;;
########################################;;;;
PROV428;;Kujawy;;c_kujawy
PROV429;;Gniezno;;Gnesen,c_gnieznienskie
PROV430;;Lubusz;;Lubusz,c_lubusz
PROV431;;Poznan;;Posen,c_poznanskie
PROV432;;Kalisz;;c_kaliskie
PROV435;;Glogów;;c_lower_silesia,Glogau
PROV434;;Wroclaw;;c_upper_silesia,Breslau
PROV527;;Krakow;;Krakau,c_krakowskie
PROV528;;Sieradz;;Schieratz,c_sieradzko-leczyckie
PROV530;;Czersk;;c_czersk
PROV531;;Sandomierz;;c_sandomierskie
PROV532;;Sacz;;Sandez,c_sacz
########################################;;;;
#Balkans;;;;
########################################;;;;
PROV459;;Krk;;c_veglia,Veglia,Vegl,Curicta,Kyrikon
PROV460;;Zagorje;;Varasdino,Varasdinion,c_varadzin,Varasdinum,Warasdin,Varasd
PROV462;;Vukova;;Wukowar,Vlco,c_krizevci
PROV464;;Lika;;Licca,c_senj
PROV466;;Podgorje;;c_zachlumia
PROV503;;Podrinje;;Drinus,Dreinos,c_hum
PROV504;;Rama;;c_rama
PROV465;;Zadar;;Jadres,Jadhara,Iadera,Jatara,Diadora,c_zadar,Zara
PROV467;;Cetina;;c_split,Tiluriumu
PROV505;;Belgrad;;c_belgrade,Singidunum,Belgrád,Singidounon,Belgrado
PROV469;;Crna Gora;;Dioclea,c_zeta,Karadag
PROV507;;Kran;;Seuthopolis,Hasat,c_nikopolis
PROV498;;Zagore;;Zagora,c_mesembria
PROV493;;Plovdiv;;Philippoupolis,c_philippopolis,Filibe,Philippopolis
PROV508;;Preslav;;Stamboluk,Durostolon,Dorostorum,c_dorostotum
PROV500;;Sredets;;Sofya,Serdica,c_serdica
PROV499;;Tarnovo;;c_tyrnovo,Tirnova,Moesia Secunda
PROV508;;Niš;;Stamboluk,Durostolon,Dorostorum,c_dorostotum
PROV471;;Ohrid;;Ohri,Lychnidus,Lychnidos,c_ochrid,Ohrida
PROV494;;Adrianopol;;c_adrianopolis,Adrianopolis,Edirne,Adrianupleos,Hadrianopolis
PROV468;;Dubrovnik;;Raguia,Ragusa,Ragusium,c_ragusa
PROV510;;Konstanta;;Constantia,Constanta,Köstence,c_constantia,Konstantia
########################################;;;;
#German territories;;;;
########################################;;;;
PROV89;;Kleve;;c_kleve,Kleef,Cléves
PROV120;;Grone;;c_gottingen
PROV259;;Lippe;;c_celle
PROV311;;Bayreuth;;c_plauen
PROV359;;Traungau;;c_innsbruck
PROV364;;Oberlausitz;;c_lausitz
PROV448;;Salzburg;;c_salzburg
PROV457;;Carniola;;c_krain
PROV261;;Stormarn;;c_hamburg
PROV248;;Thurgau;;c_st_gallen
PROV249;;Montfort;;c_schwaben
PROV244;;Zähringen;;c_bern
PROV447;;Ortenburg;;c_passau
PROV127;;Blâmont;;c_lorraine
PROV133;;Vaudémont;;c_saintois
PROV117;;Leuven;;Leuven,Louvain,Löwen,c_brabant
PROV122;;Wertheim;;c_leiningen
PROV92;;Antwerp;;Anvers,c_breda,Antorf,Antwerpen
PROV94;;Mons;;c_hainaut,Bergen
PROV263;;Eselsfleth;;c_holstein
PROV458;;Merania;;Meraniae,Meránia,Meranije,Merano,c_istria,Meranien
########################################;;;;
#Bohemia;;;;
########################################;;;;
PROV438;;Hradec;;Königgrätz,Hradec,c_hradec
PROV440;;Olomovc;;c_olomouc,Olomouc,Olomuniec,Olmütz
PROV439;;Plzen;;Plzen,Pilsen,c_plzen
PROV362;;Doudleby;;Doudleby,Sud Böhmen,c_domazlice
PROV363;;Litomirice;;c_litomerice,Leitmeritz,Litomerice
PROV436;;Kladsko;;c_boleslav,Kladsko,Klodsko,Glatz
PROV437;;Praha;;c_praha,Praha,Prag
PROV508;;Boruy;;Stamboluk,Durostolon,Dorostorum,c_dorostotum
PROV446;;Znoymo;;c_znojmo,Znojmo,Znaym
########################################;;;;
#Burgundy;;;;
########################################;;;;
PROV229;;Auta Provença;;c_forcalquier
PROV230;;Nissa;;c_nice
PROV228;;Viennois;;c_dauphine_viennois
PROV237;;Savoia;;c_savoie
PROV135;;Besancon;;c_besancon
########################################;;;;
#Italy;;;;
########################################;;;;
PROV246;;Ticino;;c_grisons
PROV324;;Cinarca;;c_corsica
PROV235;;Milano;;c_lombardia
PROV347;;Melfi;;c_apulia
########################################;;;;
#Wales;;;;
########################################;;;;
PROV19;;Glywysing;;c_glamorgan,Glamorgan,Glywysing
PROV18;;Dyfed;;Dyfed,Pembroke,c_dyfed
PROV65;;Maelor;;c_powys,Powys Fadog,Powis Fadog
########################################;;;;
#Hungary;;;;
########################################;;;;
PROV442;;Trencsén;;c_trencin,Trencsén,Trencín,Trentschin
PROV443;;Nyitra;;c_nitra,Nitra,Neutra,Nyitra
PROV444;;Visegrád;;Ostrihom,c_esztergom
PROV445;;Pozsony;;Pozsony,Prešporok,Pressburg,c_pressburg
PROV450;;Sopron;;c_sopron
PROV451;;Fejér;;c_fejer
PROV452;;Tolna;;Blatnohrad,c_pecs
PROV453;;Csongrád;;Stolicný Belehrad,c_szekezfehervar
PROV454;;Kolon;;c_vas
PROV517;;Temes;;c_temes,Temesch,Temeš,Tamiš
PROV518;;Bodrog;;c_bacs
PROV519;;Fehér;;c_feher
PROV520;;Bihar;;c_bihar
PROV522;;Szatmár;;c_pest
PROV523;;Heves;;Jager,c_heves
PROV524;;Gyõr;;Vjura,Raab,Ráb,c_gemer,Jura
PROV525;;Árva;;Arwa,c_orava,Orawa,Orava,Árva
PROV533;;Borsod;;Scharosch,c_saris,Šariš
PROV537;;Somogy;;c_bereg
PROV538;;Abauj;;Abov,Abaujwar,c_abauj
PROV539;;Veszprém;;c_marmaros
PROV540;;Doboka;;c_szekelyfold
########################################;;;;
#Sicily;;;;
########################################;;;;
PROV339;;Messina;;c_messina,Messene
PROV340;;Palermu;;Panarmos,Balharm,c_palermo
PROV341;;Tràpani;;c_trapani,Drepanon,Mazar
PROV342;;Girgenti;;Agrigenton,Kerkent,c_agrigento
PROV343;;Sarausa;;c_siracusa,Syrakousa
########################################;;;;
#Italy;;;;
########################################;;;;
PROV338;;Gerace;;Rhegion,c_reggio
PROV348;;Monte Sant'Angelo;;c_foggia
PROV337;;Tarsia;;Kroton,c_consenza
PROV331;;Grosseto;;c_piombino
PROV332;;Santa Fiora;;c_orbetello
PROV333;;Roma;;c_roma
PROV236;;Susa;;c_piemonte
PROV356;;Venezia;;c_venezia
PROV233;;Genova;;c_genoa
########################################;;;;
#Moldavia;;;;
########################################;;;;
PROV545;;Suceava;;c_torki
PROV511;;Basarabia;;c_galaz
PROV512;;Tighina;;c_belgorod
PROV513;;Bârlad;;c_birlad
########################################;;;;
#Brittany;;;;
########################################;;;;
PROV101;;Roazhon;;c_rennes
PROV102;;Turnagoued;;c_penthievre
PROV103;;Leon;;c_french_leon
PROV104;;Gernev;;c_cornouaille
PROV105;;Gwened;;c_vannes
PROV106;;Naoned;;c_nantes
########################################;;;;
#Aquitaine;;;;
########################################;;;;
PROV217;;Auvèrnhe;;c_auvergne
PROV210;;Fois;;c_foix
PROV214;;Tolosa;;c_toulouse
PROV218;;Roergue;;c_rouergue
PROV219;;Gavaudan;;c_gevaudan
PROV212;;Narbona;;c_narbonne
PROV213;;Carcassona;;c_carcassonne
PROV220;;Melguèlh;;c_montpellier
PROV223;;Vivarés;;c_viviers
PROV150;;Labrit;;c_albret
########################################;;;;
#France;;;;
########################################;;;;
PROV112;;Paris;;c_ile_de_france
PROV132;;Auxerre;;c_auxerre
PROV130;;Troyes;;c_champagne
PROV139;;Bourges;;c_bourges
PROV114;;Reims;;c_reims
PROV131;;Sens;;c_sens
PROV100;;Avranches;;c_avranches
########################################;;;;
#Iberia;;;;
########################################;;;;
PROV154;;Asturias de Santillana;;Astúries de Santillana,Sant'ianna,Asturies de Santillana,Santillanako Asturias,c_asturias_de_santillana,Astúrias de Santilhana,Asturies de Sainte-Julianne
PROV155;;Asturias de Oviedo;;Astúrias d'Oviedo,Astúries d'Oviedo,c_asturias_de_oviedo,Uffiddu,Asturies d'Uviéu,Asturies d'Ouviet,Obiedoko Asturias
PROV156;;Trastámara;;Trastamara,Trastâmara,Trastamare,Qruniyyah,Trastàmara,c_coruna
PROV158;;Oporto;;c_porto,Oporto,Porto,Portu,Uburtu,Porteau
PROV165;;Carmona;;Carmonne,Karmona,c_cadiz,Qarmuna
PROV173;;Tortosa;;c_tarragona,Tortose,Turtusha
PROV174;;Albarracín;;Albarrazín,Albarrasí,Albarratzin,Aben Razin,c_albarracin
PROV178;;Alarcón;;Alarcon,Alarcó,al-Urqub,c_la_mancha,Alarkon
PROV179;;Villena;;c_almansa,Bilena,Vilhena,Villène,Bilyana
PROV183;;Mérida;;c_aracena,Marida,Merida
PROV195;;Talavera;;Talabira,Talabera,c_caceres
PROV182;;Sevilla;;Isbiliya,Sevilha,Sebilla,c_sevilla,Séville
########################################;;;;
#Anatolia;;;;
########################################;;;;
PROV735;;Marash;;Doliche,c_teluch
PROV734;;Ravendal;;c_aintab
########################################;;;;
#Syria;;;;
########################################;;;;
PROV765;;Berzieh;;c_archa
PROV726;;Qasr al-Hayr al-Gharbi;;c_al_mafraq
PROV714;;Azraq;;c_az_zarqa
PROV709;;Ar-Raqqah;;c_asas
PROV731;;Hims;;c_homs
PROV768;;Bekaa;;c_baalbek
PROV725;;Jaulan;;c_irbid
PROV728;;Ghutah;;c_damascus
PROV727;;Hauran;;c_syria
PROV712;;Bathaniyya;;c_suwaida
PROV724;;Balqa;;c_amman
PROV708;;Turbessel;;c_tell_bashir
PROV723;;Jarash;;c_madaba
PROV713;;Qasr al-Hayr al-Sharqi;;c_druz
PROV729;;Alqaim;;c_tadmor
PROV733;;Halab;;c_aleppo
PROV722;;Elim;;c_petra
PROV769;;Toron;;c_safed
PROV779;;Naples;;Nablus,c_beersheb
PROV776;;St-Abraham;;El-Khail,c_hebron
PROV782;;Negev desert;;
PROV774;;Jérusalem;;Al-Quds,c_jerusalem,Kudüs
PROV781;;Darom;;c_darum
PROV786;;Jabal Katrina;;c_eilat
PROV785;;Nekhel;;c_sinai
########################################;;;;
#Grecce;;;;
########################################;;;;
PROV475;;Naupaktos;;c_hellas
########################################;;;;
#Arabia;;;;
########################################;;;;
PROV716;;Dumat al-Jundal;;c_ar_ar
PROV717;;Mawijan;;c_al_jawf
PROV865;;Talabija;;c_rafha
PROV720;;Al-Ula;;c_hijaz
