#CODE;;ENGLISH;;ENGLISH
########################################;;;;
#Norwegian;;;;
########################################;;;;
PROV271;;Vestfold;c_vestfold;
PROV272;;Vingulmörk;c_akershus;
PROV296;;Ránríki;c_viken;
PROV270;;Þelamørk;c_telemark;
PROV268;;Egðafylki;c_agder;
PROV274;;Horðaland;c_bergenshus;
PROV269;;Rygjafylki;c_rogaland;
PROV391;;Norðmœri;c_nordland;
PROV275;;Strindafylki;c_trondelag;
PROV278;;Hálogaland;c_halogaland;
PROV277;;Naumdœlfylki;c_naumadal;
PROV389;;Finnmörk;c_finnmark,Finnmárku;
PROV276;;Heiðmørk;c_hedmark;
PROV282;;Jamtaland;c_jamtland;
PROV284;;Herjárdalr;c_herjedalen;
PROV273;;Hringaríki;c_oppland;
########################################;;;;
#Danish;;;;
########################################;;;;
PROV6;;Blekyngh;c_blekinge;
PROV264;;Istathesysæl;c_slesvig,Schleswig,Sleswig;
PROV265;;Fyun;c_fyn;
PROV266;;Nørræ Syaland;c_sjaelland;
PROV267;;Abosysæl;c_jylland;
PROV302;;Syndræ Halland;c_halland;
PROV303;;Væstær Skane;c_skane;
PROV305;;Burghændæholm;c_bornholm,Borgundarhólmi;
########################################;;;;
#Swedish;;;;
########################################;;;;
PROV298;;Njudung;c_smaland;
PROV294;;Nerike;c_narke,Nerike,Nerke;
PROV297;;Lödöse;c_vastergotland,Lødøse;
PROV288;;Värmilland;c_varmland,Vermland,Værmland;
PROV285;;Alir;c_halsingland;
PROV283;;Sunded;c_medelpad;
PROV280;;Norrland;c_vasterbotten,Norlanti;
PROV290;;Tiundaland;c_uppland;
########################################;;;;
#Polish;;;;
########################################;;;;
PROV428;;Kujawy;c_kujawy;
PROV429;;Gniezno;c_gnieznienskie,Gnesen;
PROV430;;Lubusz;c_lubusz,Lubusz,Lubuš,Lebus;
PROV431;;Poznan;c_poznanskie,Posen;
PROV432;;Kalisz;c_kaliskie;
PROV435;;Glogów;c_lower_silesia,Glogau;
PROV434;;Wroclaw;c_upper_silesia,Breslau;
PROV527;;Krakow;c_krakowskie,Krakau;
PROV528;;Sieradz;c_sieradzko-leczyckie,Schieratz;
PROV530;;Czersk;c_czersk;
PROV531;;Sandomierz;c_sandomierskie;
PROV532;;Sacz;c_sacz,Sandez;
########################################;;;;
#Balkans;;;;
########################################;;;;
PROV459;;Krk;c_veglia,Vegl,Veglia,Kyrikon,Curicta;
PROV460;;Zagorje;c_varadzin,Warasdin,Varasd,Varasdino,Varasdinum,Varasdinion;
PROV462;;Vukova;c_krizevci,Wukowar,Vlco,Mursa,Moursa;
PROV464;;Lika;c_senj,Licca,Attienities;
PROV466;;Podgorje;c_zachlumia,Zachloumia;
PROV503;;Podrinje;c_hum,Drinus,Dreinos;
PROV504;;Rama;c_rama;
PROV465;;Zadar;c_zadar,Jadres,Zara,Jatara,Iadera,Diadora,Jadhara;
PROV467;;Cetina;c_split,Spalatum,Spálathos;
PROV505;;Belgrad;c_belgrade,Belgrád,Singidounon,Singidunum,Belgrado;
PROV469;;Crna Gora;c_zeta,Diokleia,Dioclea,Karadag;
PROV507;;Kran;c_nikopolis,Seuthopolis,Hasat;
PROV498;;Zagore;c_mesembria,Zagoria,Misivri;
PROV493;;Plovdiv;c_philippopolis,Philippopolis,Philippoupolis,Filibe;
PROV508;;Preslav;c_dorostotum,Durostolon,Dorostorum,Stamboluk;
PROV500;;Sredets;c_serdica,Serdica,Sofya;
PROV499;;Tarnovo;c_tyrnovo,Moesia Secunda,Tirnova;
PROV508;;Niš;c_dorostotum,Durostolon,Dorostorum,Stamboluk;
PROV471;;Ohrid;c_ochrid,Achrída,Ohër,Lychnidus,Ohri,Ohrida;
PROV494;;Adrianopol;c_adrianopolis,Adrianopolis,Adrianupleos,Hadrianopolis,Edirne;
PROV468;;Dubrovnik;c_ragusa,Ragusa,Ragusium,Raguia;
PROV510;;Konstanta;c_constantia,Konstantia,Constantia,Köstence,Constanta;
########################################;;;;
#German territories;;;;
########################################;;;;
PROV89;;Kleve;c_kleve,Kleef,Cléves;
PROV120;;Grone;c_gottingen;
PROV259;;Lippe;c_celle;
PROV311;;Bayreuth;c_plauen;
PROV359;;Traungau;c_innsbruck;
PROV364;;Oberlausitz;c_lausitz;
PROV448;;Salzburg;c_salzburg,Iuvavum;
PROV457;;Carniola;c_krain;
PROV261;;Stormarn;c_hamburg;
PROV248;;Thurgau;c_st_gallen;
PROV249;;Montfort;c_schwaben;
PROV244;;Zähringen;c_bern;
PROV447;;Ortenburg;c_passau,Batavinum;
PROV127;;Blâmont;c_lorraine;
PROV133;;Vaudémont;c_saintois;
PROV117;;Leuven;c_brabant,Löwen,Louvain,Leuven;
PROV122;;Wertheim;c_leiningen;
PROV92;;Antwerp;c_breda,Antorf,Anvers,Antwerpen;
PROV94;;Mons;c_hainaut,Bergen;
PROV263;;Eselsfleth;c_holstein;
PROV458;;Merania;c_istria,Merano,Meranien,Meránia,Meraniae,Meranije;
########################################;;;;
#Bohemia;;;;
########################################;;;;
PROV438;;Hradec;c_hradec,Hradec,Grätz;
PROV440;;Olomouc;c_olomouc,Olomouc,Olomuniec,Olmütz;
PROV439;;Plzen;c_plzen,Plzen,Pilsen;
PROV362;;Doudleby;c_domazlice,Jižní Czechy,Sudböhmen;
PROV363;;Litomerice;c_litomerice,Leitmeritz,Litomerzice;
PROV436;;Kladsko;c_boleslav,Kladsko,Klodsko,Glatz;
PROV437;;Praha;c_praha,Prag,Praha;
PROV508;;Boruy;c_dorostotum,Durostolon,Dorostorum,Stamboluk;
PROV446;;Znojmo;c_znojmo,Znojmo,Znaym;
########################################;;;;
#Burgundy;;;;
########################################;;;;
PROV229;;Auta Provença;c_forcalquier;
PROV230;;Nissa;c_nice,Antipolis;
PROV228;;Viennois;c_dauphine_viennois,Vienna,Ouienna;
PROV237;;Savoia;c_savoie;
PROV135;;Besancon;c_besancon,Vesontio,Ouisontion;
########################################;;;;
#Italy;;;;
########################################;;;;
PROV246;;Ticino;c_grisons,Bilitio;
PROV324;;Cinarca;c_corsica;
PROV235;;Milano;c_lombardia,Mediolanium,Mediolanion;
PROV347;;Melfi;c_apulia,Potentia;
########################################;;;;
#Wales;;;;
########################################;;;;
PROV19;;Glywysing;c_glamorgan,Glywysing,Glamorgan;
PROV18;;Dyfed;c_dyfed,Dyfed,Pembroke;
PROV65;;Maelor;c_powys,Powys Fadog,Powis Fadog;
########################################;;;;
#Hungary;;;;
########################################;;;;
PROV442;;Trencsén;c_trencin,Trencsén,Trencín,Trentschin;
PROV443;;Nyitra;c_nitra,Nyitra,Nitra,Neutra;
PROV444;;Visegrád;c_esztergom,Ostrihom,Gran,Aquincum,Akouinkon;
PROV445;;Pozsony;c_pressburg,Pozsony,Prešpurk,Prešporok,Pressburg;
PROV450;;Sopron;c_sopron,Ödenburg,Scarabantia,Skarabantia;
PROV451;;Fejér;c_fejer;
PROV452;;Tolna;c_pecs,Blatnohrad,Fünfkirchen,Sopianae,Sopianai;
PROV453;;Csongrád;c_szekezfehervar,Czernohrad,Cierny hrad,Ciongrad,Stuhlweißenburg;
PROV454;;Kolon;c_vas,Eisenburg,Zelezna;
PROV517;;Temes;c_temes,Temeš,Temesch,Tamiš,Timsoara;
PROV518;;Bodrog;c_bacs;
PROV519;;Fehér;c_feher;
PROV520;;Bihar;c_bihar,Bihor;
PROV522;;Szatmár;c_pest;
PROV523;;Heves;c_heves;
PROV524;;Gyõr;c_gemer,Ráb,Jura,Vjura,Raab,Arrabona;
PROV525;;Árva;c_orava,Árva,Orava,Arwa,Orawa;
PROV533;;Borsod;c_saris,Šariš,Scharosch;
PROV537;;Somogy;c_bereg;
PROV538;;Abauj;c_abauj,Abov,Abaujwar;
PROV539;;Veszprém;c_marmaros,Maramures,Maramuresch;
PROV540;;Doboka;c_szekelyfold;
########################################;;;;
#Sicily;;;;
########################################;;;;
PROV339;;Messina;c_messina,Messene,Massinah;
PROV340;;Palermu;c_palermo,Balharm,Panormos;
PROV341;;Tràpani;c_trapani,Drepanon,Mazar;
PROV342;;Girgenti;c_agrigento,Akragas,Kerkent;
PROV343;;Sarausa;c_siracusa,Syrakousai,Siraqusah;
########################################;;;;
#Italy;;;;
########################################;;;;
PROV338;;Gerace;c_reggio,Rhegium,Rhegion;
PROV348;;Monte Sant'Angelo;c_foggia,Sipontum,Sepius;
PROV337;;Tarsia;c_consenza,Consentia,Konsentia;
PROV331;;Grosseto;c_piombino,Rusellae,Rhousellai;
PROV332;;Santa Fiora;c_orbetello;
PROV333;;Roma;c_roma,Rhome;
PROV236;;Susa;c_piemonte,Augusta Taurinorum,Augousta Taurinon;
PROV356;;Venezia;c_venezia;
PROV233;;Genova;c_genoa,Genua,Genoua;
########################################;;;;
#Moldavia;;;;
########################################;;;;
PROV545;;Suceava;c_torki,Seretos;
PROV511;;Basarabia;c_galaz;
PROV512;;Tighina;c_belgorod;
PROV513;;Bârlad;c_birlad;
########################################;;;;
#Brittany;;;;
########################################;;;;
PROV101;;Roazhon;c_rennes,Condate Redonum,Kondate;
PROV102;;Turnagoued;c_penthievre;
PROV103;;Leon;c_french_leon,Gesocribate;
PROV104;;Gernev;c_cornouaille,Vorgium,Ouorgion;
PROV105;;Gwened;;
PROV106;;Naoned;c_nantes,Portus Namnetum;
########################################;;;;
#Aquitaine;;;;
########################################;;;;
PROV217;;Auvèrnhe;c_auvergne;
PROV210;;Fois;c_foix;
PROV214;;Tolosa;c_toulouse,Tolosa;
PROV218;;Roergue;c_rouergue;
PROV219;;Gavaudan;c_gevaudan;
PROV212;;Narbona;c_narbonne,Narbo Martius,Narbonesios;
PROV213;;Carcassona;c_carcassonne;
PROV220;;Melguèlh;c_montpellier;
PROV223;;Vivarés;;
PROV150;;Labrit;c_albret;
########################################;;;;
#France;;;;
########################################;;;;
PROV112;;Paris;c_ile_de_france,Lutetia,Loukotekia;
PROV132;;Auxerre;c_auxerre,Autessiodurum;
PROV130;;Troyes;c_champagne,Augustobona,Augoustobona;
PROV139;;Bourges;c_bourges,Avaricum;
PROV114;;Reims;c_reims,Remos;
PROV131;;Sens;c_sens,Agedincum;
PROV100;;Avranches;c_avranches,Ingena;
########################################;;;;
#Iberia;;;;
########################################;;;;
PROV154;;Asturias de Santillana;c_asturias_de_santillana,Sant'ianna,Santillanako Asturias,Astúries de Santillana,Asturies de Santillana,Astúrias de Santilhana,Asturies de Sainte-Julianne;
PROV155;;Asturias de Oviedo;c_asturias_de_oviedo,Uffiddu,Astúrias d'Oviedo,Asturies d'Uviéu,Astúries d'Oviedo,Obiedoko Asturias,Asturies d'Ouviet;
PROV156;;Trastámara;c_coruna,Qruniyyah,Trastamare,Trastâmara,Trastamara,Trastàmara,Brigantium,Brigantion;
PROV158;;Oporto;c_porto,Uburtu,Porto,Portu,Oporto,Porteau;
PROV165;;Carmona;c_cadiz,Qarmuna,Karmona,Carmonne;
PROV173;;Tortosa;c_tarragona,Turtusha,Tortose,Tarraco,Tarrakon;
PROV174;;Albarracín;c_albarracin,Aben Razin,Albarrazín,Albarrasí,Albarratzin;
PROV178;;Alarcón;c_la_mancha,al-Urqub,Alarcó,Alarkon,Alarcon;
PROV179;;Villena;c_almansa,Bilyana,Bilena,Vilhena,Villène;
PROV183;;Mérida;c_aracena,Marida,Merida,Emerita Augusta,Emerita Augousta;
PROV195;;Talavera;c_caceres,Talabira,Talabera,Caesarobriga,Kaisarobriga;
PROV182;;Sevilla;c_sevilla,Isbiliya,Sebilla,Séville,Sevilha,Hispalis,Ispalis;
########################################;;;;
#Anatolia;;;;
########################################;;;;
PROV701;;Tarawn;c_taron,Taron,Malazgird,Minazjird,Malazgir;
PROV702;;Khlat;c_mesopotamia,Chalata,Ahlat,Akhlât,Xelat;
PROV703;;Yerznka;c_karin,Keltzene,Erzincan,Arzinjan,Ezirgan;
PROV704;;Karin;c_theodosiopolis,Theodosioupolis,Erzen er-Rûm,Arzan ar-Rûm,Erzîrom;
PROV705;;Chaldia;c_chaldea,Giresun;
