#CODE;;ENGLISH;;ENGLISH
#Bohemia;;;;
c_opava_adj;;Opavan;;
c_zatec_adj;;Zatecan;;
#Baltics;;;;
c_szvuine_adj;;Szvuine;;
c_deltuva_adj;;Deltuvian;;
c_jeriska_adj;;Jeriskaian;;
c_toreida;;Torieda;Toreida,Turaida,Thoreveda;
c_kolberg_adj;;Kolobrzeg;;
c_zemgalians_adj;;Zemgalian;;
c_jarva_adj;;Järvian;;
c_selija_adj;;Selijan;;
c_metsepole_adj;;Metsepolian;;
c_laanemaa_adj;;Laanemaaian;;
c_atzele_adj;;Atzeleian;;
c_trakai_adj;;Trakaian;;
c_lida_adj;;Lyda;;
c_sudovia_adj;;Sudovia;;
c_yatvyagi_adj;;Dainava;;
c_asmena_adj;;Ašmena;;
c_upyte_adj;;Upytian;;
c_nalshia_adj;;Nalsian;;
c_bandava;;Bandava;;
c_duvzare;;Duvzare;;
c_vaiga;;Vaiga;;
#Denmark;;;;
c_skane_adj;;Væstær Skanskr;;
c_northern_skane_adj;;Nørræ Skanskr;;
c_eastern_skane_adj;;Østær Skanskr;;
c_blekinge_adj;;Blekynghr;;
c_sjaelland_adj;;Nørræ Syalandr;;
c_western_sjaelland_adj;;Wæstær Syalandr;;
c_southern_sjaelland_adj;;Syndræ Syalandr;;
c_lolland_adj;;Lalandr;;
c_fyn_adj;;Fyunr;;
c_northern_halland_adj;;Nørræ Hallandr;;
c_halland_adj;;Syndræ Hallandr;;
c_jylland_adj;;Abosysælr;;
c_central_jylland_adj;;Warwithsysælr;;
c_northeastern_jylland_adj;;Himbræsysælr;;
c_northern_jylland_adj;;Wændlesysælr;;
c_western_jylland_adj;;Harthæsysælr;;
c_samsoe_adj;;Samsør;;
c_slesvig_adj;;Istathesysælr;;
c_southern_jylland_adj;;Ellæmsysælr;;
c_north_frisia_adj;;Utlandr;;
c_bornholm_adj;;Burghændæholmr;;
#Hungary;;;;
c_csanad_adj;;Csanádian;;
c_krasso_adj;;Krassóian;;
c_bars_adj;;Barsian;;
c_komarom_adj;;Komaromian;;
c_bekes_adj;;Békésian;;
c_zemplen_adj;;Zemplénian;;
c_szepes_adj;;Szepesian;;
c_hont_adj;;Hontian;;
c_pecs_adj;;Bodrogvárian;;
c_fejer_adj;;Fejérian;;
c_esztergom_adj;;Visegrádian;;
c_pressburg_adj;;Pozsonyian;;
c_bacs_adj;;Csongrádian;;
c_nitra_adj;;Nyitravárian;;
c_feher_adj;;Fehérian;;
c_szekelyfold_adj;;Dobokaian;;
c_bihar_adj;;Biharian;;
c_zarand_adj;;Zarándian;;
c_pest_adj;;Újvárian;;
c_marmaros_adj;;Veszprémian;;
c_saris_adj;;Borsodian;;
c_bereg_adj;;Somogyian;;
c_gemer_adj;;Gyõrian;;
c_trencin_adj;;Barsian;;
#HRE;;;;
c_ravensberg_adj;;Ravensbergische;;
c_kuenring_adj;;Küenringische;;
c_comburg_adj;;Comburger;;
c_chur_adj;;Churische;;
c_celje_adj;;Celjen;;
