#CODE;;ENGLISH;ENGLISH;
#Bohemia;;;;
c_opava_adj;;Opavan;;
c_zatec_adj;;Zatecan;;
#Baltics;;;;
c_szvuine_adj;;Szvuine;;
c_deltuva_adj;;Deltuvian;;
c_jeriska_adj;;Jeriskaian;;
c_toreida;;Torieda;;
c_kolberg_adj;;Kolobrzeg;;
c_zemgalians_adj;;Zemgalian;;
c_jarva_adj;;Järvian;;
c_selija_adj;;Selijan;;
c_metsepole_adj;;Metsepolian;;
c_laanemaa_adj;;Laanemaaian;;
c_atzele_adj;;Atzeleian;;
c_trakai_adj;;Trakaian;;
c_lida_adj;;Lyda;;
c_sudovia_adj;;Sudovia;;
c_yatvyagi_adj;;Dainava;;
c_asmena_adj;;Ašmena;;
c_upyte_adj;;Upytian;;
c_nalshia_adj;;Nalsian;;
c_bandava;;Bandava;;
c_duvzare;;Duvzare;;
c_vaiga;;Vaiga;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
#Hungary;;;;
c_csanad_adj;;Csanádian;;
c_krasso_adj;;Krassóian;;
c_bars_adj;;Barsian;;
c_komarom_adj;;Komaromian;;
c_bekes_adj;;Békésian;;
c_zemplen_adj;;Zemplénian;;
c_szepes_adj;;Szepesian;;
c_hont_adj;;Hontian;;
c_pecs_adj;;Bodrogvárian;;
c_fejer_adj;;Fejérian;;
c_esztergom_adj;;Visegrádian;;
c_pressburg_adj;;Pozsonyian;;
c_bacs_adj;;Csongrádian;;
c_nitra_adj;;Nyitravárian;;
c_feher_adj;;Fehérian;;
c_szekelyfold_adj;;Dobokaian;;
c_bihar_adj;;Biharian;;
c_zarand_adj;;Zarándian;;
c_pest_adj;;Újvárian;;
c_marmaros_adj;;Veszprémian;;
c_saris_adj;;Borsodian;;
c_bereg_adj;;Somogyian;;
c_gemer_adj;;Gyõrian;;
c_trencin_adj;;Barsian;;
#HRE;;;;
c_ravensberg_adj;;Ravensbergische;;
c_kuenring_adj;;Küenringische;;
c_comburg_adj;;Comburger;;
c_chur_adj;;Churische;;
c_celje_adj;;Celjen;;
c_tregor_adj;;Trégorian;;
c_dannenberg_adj;;Dannenbergische;;
c_lauffen_adj;;Lauffische;;
c_merseburg_adj;;Merseburgische;;
c_goslar_adj;;Goslarische;;
c_ansbach_adj;;Ansbachische;;
c_prignitz_adj;;Prignitzische;;
c_voigtland_adj;;Voigtlandische;;
c_konigssondergau_adj;;Königsondergauische;;
c_zweibrucken_adj;;Zweibrückische;;
c_reinholdsburg_adj;;Reinholdsburgische;;
c_vianden_adj;;Viandische;;
c_aachen_adj;;Aachener;;
c_arnhem_adj;;Veluweische;;
c_valenciennes_adj;;Valenciennes;;
c_cambrai_adj;;Cambrai;;
c_brussel_adj;;Brussel;;
c_arlon_adj;;Arlon;;
