#CODE;;ENGLISH;ENGLISH
########################################;;;
#GERMAN;;;
########################################;;;
baron_german;;Freiherr;
baron_female_german;;Freifrau;
baron_title_ruler_consort_german;;Freiherr;
baron_title_ruler_consort_female_german;;Freifrau;
count_german;;Graf;
count_female_german;;Gräfin;
count_title_ruler_consort_german;;Graf;
count_title_ruler_consort_female_german;;Gräfin;
duke_german;;Herzog;
duke_female_german;;Herzogin;
duke_title_ruler_consort_german;;Herzog;
duke_title_ruler_consort_female_german;;Herzogin;
king_german;;König;
king_female_german;;Königin;
king_title_ruler_consort_german;;König;
king_title_ruler_consort_female_german;;Königin;
emperor_german;;Kaiser;
emperor_female_german;;Kaiserin;
emperor_title_ruler_consort_female_german;;Kaiserin;
title_prince_german;;Prinz;
title_prince_female_german;;Prinzessin;
city_baron_german;;Bürgermeister;
city_count_german;;Oberbürgermeister;
city_duke_german;;Syndikus;
city_king_german;;Syndikus;
city_emperor_german;;Syndikus;
city_barony_of_german;;Vogtei;
city_county_of_german;;Freie Stadt;
city_duchy_of_german;;Freie Reichsstadt;
city_kingdom_of_german;;Städtebund;
city_empire_of_german;;Reichsstädtebund;
temple_baron_german;;Reichsabt;
temple_count_catholic_german;;Fürst-Bischof;
temple_barony_of_catholic_german;;Bistum;
temple_county_of_catholic_german;;Fürst-Bistum;
duchy_of_german;;Herzogtum;
########################################;;;
#GREEK;;;
########################################;;;
baron_greek;;Tourmarches;Tourmarches
baron_female_greek;;Tourmarchissa;Tourmarchissa
baron_title_ruler_consort_greek;;Tourmarches;Tourmarches
baron_title_ruler_consort_female_greek;;Tourmarchissa;Tourmarchissa
count_greek;;Droungarios;
count_female_greek;;Komissa;
count_title_ruler_consort_greek;;Droungarios;
count_title_ruler_consort_female_greek;;Komissa;
duke_greek;;Doux;
duke_female_greek;;Doukissa;
duke_title_ruler_consort_greek;;Doux;Doux
duke_title_ruler_consort_female_greek;;Doukissa;Doukissa
king_greek;;Despot;Despot
king_female_greek;;Despoina;Despoina
king_title_ruler_consort_greek;;Despot;Despot
king_title_ruler_consort_female_greek;;Despoina;Despoina
emperor_greek;;Basileus;Basileus
emperor_female_greek;;Basilissa;Basilissa
emperor_title_ruler_consort_female_greek;;Basilissa;Basilissa
title_prince_greek;;Kaisar;Kaisar
title_prince_female_greek;;Kaisarissa;Kaisarissa
barony_of_greek;;Kastron;
county_of_greek;;Katepanô;
duchy_of_greek;;Thema;
kingdom_of_greek;;Despotate of;Despotate of
city_baron_greek;;Kephale;Kephale
city_count_greek;;Archon;Archon
city_duke_greek;;Protarchon;Protarchon
city_king_greek;;Protodoux;Protodoux
city_emperor_greek;;Megas Kyrios;Megas Kyrios
city_barony_of_greek;;Kephalatikion;
city_county_of_greek;;Polis;
city_duchy_of_greek;;Politeia;
city_kingdom_of_greek;;Archipoliteia;
city_empire_of_greek;;Dynasteia;
temple_count_greek;;Episkopos;
########################################;;;
#SWEDISH, DANISH and NORWEGIAN;;;
########################################;;;
baron_danish;;Herra;
baron_gothic;;Herra;
baron_icelandic;;Herra;
baron_swedish;;Herra;
baron_norwegian;;Herra;
baron_female_danish;;Frú;
baron_female_gothic;;Frú;
baron_female_icelandic;;Frú;
baron_female_swedish;;Frú;
baron_female_norwegian;;Frú;
count_norse;;Thane;
count_danish;;Herra;
count_icelandic;;Landnámaður;
count_gothic;;Herra;
count_swedish;;Herra;
count_norwegian;;Lendr maðr;
count_female_icelandic;;Frú;
count_female_gothic;;Frú;
count_female_danish;;Frú;
count_female_swedish;;Frú;
count_female_norwegian;;Frú;
duke_danish;;Jarl;Jarl
duke_icelandic;;Jarl;Jarl
duke_gothic;;Jarl;Jarl
duke_swedish;;Jarl;Jarl
duke_norwegian;;Jarl;Jarl
duke_female_danish;;Frú;
duke_female_gothic;;Frú;
duke_female_icelandic;;Frú;
duke_female_swedish;;Frú;
duke_female_norwegian;;Frú;
king_danish;;Konungr;
king_gothic;;Konungr;
king_icelandic;;Konungr;
king_norse;;Konungr;
king_swedish;;Konungr;
king_norwegian;;Konungr;
king_female_norse;;Dróttning;
king_female_icelandic;;Dróttning;
king_female_gothic;;Dróttning;
king_female_danish;;Dróttning;
king_female_swedish;;Dróttning;
king_female_norwegian;;Dróttning;
emperor_icelandic;;Keisari;
emperor_gothic;;Keisari;
emperor_norse;;Keisari;
emperor_danish;;Keisari;
emperor_swedish;;Keisari;
emperor_norwegian;;Keisari;
emperor_female_gothic;;Keisaraynja;
emperor_female_icelandic;;Keisaraynja;
emperor_female_norse;;Keisaraynja;
emperor_female_danish;;Keisaraynja;
emperor_female_swedish;;Keisaraynja;
emperor_female_norwegian;;Keisaraynja;
baron_title_ruler_consort_gothic;;Herra;
baron_title_ruler_consort_icelandic;;Herra;
baron_title_ruler_consort_danish;;Herra;
baron_title_ruler_consort_swedish;;Herra;
baron_title_ruler_consort_norwegian;;Herra;
baron_title_ruler_consort_female_gothic;;Frú;
baron_title_ruler_consort_female_icelandic;;Frú;
baron_title_ruler_consort_female_danish;;Frú;
baron_title_ruler_consort_female_swedish;;Frú;
baron_title_ruler_consort_female_norwegian;;Frú;
count_title_ruler_consort_gothic;;Herra;
count_title_ruler_consort_icelandic;;Herra;
count_title_ruler_consort_danish;;Herra;
count_title_ruler_consort_swedish;;Herra;
count_title_ruler_consort_norwegian;;Herra;
count_title_ruler_consort_female_gothic;;Frú;
