d_band_of_the_brave;the Brave Band;;;;;;;;;;;;;
d_band_of_the_brave_adj;Brave Band;;;;;;;;;;;;;
d_band_of_the_red;the Band of the Red;;;;;;;;;;;;;
d_band_of_the_red_adj;Band of the Red;;;;;;;;;;;;;
d_jomsvikinger;the Jomsvikings;;;;;;;;;;;;;
d_jomsvikinger_adj;Jomsviking;;;;;;;;;;;;;
d_black_gang;the Arumer Zwarte Hoop;;;;;;;;;;;;;
d_black_gang_adj;Arumer Zwarte Hoop;;;;;;;;;;;;;
d_dove_company;the Company of the Dove;;;;;;;;;;;;;
d_dove_company_adj;Company of the Dove;;;;;;;;;;;;;
d_ulfhedar;the Berserkers;;;;;;;;;;;;;
d_ulfhedar_adj;Berserker;;;;;;;;;;;;;
d_valr;the Slain;;;;;;;;;;;;;
d_valr_adj;Slain;;;;;;;;;;;;;
DROTTINN;Lord;;;;;;;;;;;;;
Styrimadur;Steersman;;;;;;;;;;;;;
VENTURECAPTAIN;Capitano di ventura;;;;;;;;;;;;;
