e_hre;Holy Roman Empire;;;;;;;;;;;;;;;;;;;;;;;;;;;;
e_hre_adj;Imperial;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k_germany;Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k_germany_adj;German;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k_lotharingia;Lotharingia;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k_lotharingia_adj;Lotharingian;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k_lower_lorraine;Lower Lorraine;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k_lower_lorraine_adj;Lower Lorrainian;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_julich;Jülich;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_limburg;Limburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_berg;Jülich-Cleves-Berg;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_berg_adj;Lower Rhenish;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_koln;Cologne;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_koln_adj;Colognian;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_liege;Liège;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_hainaut;Hainaut;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_hainaut_adj;Walloon;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k_saxony;Saxony;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k_saxony_adj;Saxon;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_lubeck;Lübeck;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_oldenburg;Lower Saxony;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_oldenburg_adj;Lower Saxon;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_holstein;Holstein;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_holstein_adj;Holstein;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_brunswick;Brunswick-Lüneburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_brunswick_adj;Brunswickian;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_brandenburg;the Northern March;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_brandenburg_adj;Northern March;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_bishopmunster;Münster;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_osnabruck;Osnabrück;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_magdeburg;Magdeburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_bremen;Bremen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_bremen_adj;Bremian;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_saxewittenberg;Saxe-Wittenberg;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_saxewittenberg_adj;Saxon;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_altmark;Altmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_angria;Angria;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_angria_adj;Angrian;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k_bavaria;Bavaria;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k_bavaria_adj;Bavarian;;;;;;;;;;;;;;;;;;;;;;;;;;;;
