#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
temple_king_christian;Patriarch;;;;;;;;;;;;;x
baron_khitan;Tarkhan;;;;;;;;;;;;;x
temple_baron_zoroastrian;Mobed;;;;;;;;;;;;;x
temple_barony_zoroastrian;Atashkada;;;;;;;;;;;;;x
temple_barony_of_zoroastrian;Atashkada of;;;;;;;;;;;;;x
job_spiritual_zoroastrian_group;Dastur;;;;;;;;;;;;;x
job_spiritual_zoroastrian;Dastur;;;;;;;;;;;;;x
job_chancellor_zoroastrian_group;Wuzurg Framadar;;;;;;;;;;;;;x
job_treasurer_zoroastrian_group;Ho Tokhshan Bod;;;;;;;;;;;;;x
city_baron_zoroastrian_group;Dehqan;;;;;;;;;;;;;x
north_african;North African;;;;;;;;;;;;;x
berber;Berber;;;;;;;;;;;;;x
sinic;East Asian;;;;;;;;;;;;;x
baron_female_andalusian_arabic;Wâli;;;;;;;;;;;;;x
county_of_andalusian_arabic;Taifa of;;;;;;;;;;;;;x
king_andalusian_arabic;Sultan;;;;;;;;;;;;;x
king_female_andalusian_arabic;Sultana;;;;;;;;;;;;;x
kingdom_of_andalusian_arabic;Sultanate of;;;;;;;;;;;;;x
county_andalusian_arabic;Taifa;;;;;;;;;;;;;x
emperor_andalusian_arabic;Padishah;;;;;;;;;;;;;x
baron_female_berber;Wâli;;;;;;;;;;;;;x
emperor_berber;Padishah;;;;;;;;;;;;;x
arabic;Semitic;;;;;;;;;;;;;x
count_irish;High Lord;;;;;;;;;;;;;x
county_of_irish;High Lordship of;;;;;;;;;;;;;x
king_welsh;Prince;;;;;;;;;;;;;x
king_female_welsh;Princess;;;;;;;;;;;;;x
kingdom_of_welsh;Principality of;;;;;;;;;;;;;x
barony_of_irish;Lordship of;;;;;;;;;;;;;x
baron_irish;Lord;;;;;;;;;;;;;x
baron_scottish;Lord;;;;;;;;;;;;;x
city_count_scottish;Lord Provost;;;;;;;;;;;;;x
city_baron_scottish;Provost;;;;;;;;;;;;;x
count_scottish;Thegn;;;;;;;;;;;;;x
county_of_scottish;Thanage of;;;;;;;;;;;;;x
barony_of_breton;Machtiernship of;;;;;;;;;;;;;x
barony_breton;Machtiernship;;;;;;;;;;;;;x
baron_breton;Machtiern;;;;;;;;;;;;;x
barony_of_welsh;Cantref of;;;;;;;;;;;;;x
baron_welsh;Lord;;;;;;;;;;;;;x
county_of_welsh;Country of;;;;;;;;;;;;;x
baron_greek;Kephale;;;;;;;;;;;;;x
baron_female_greek;Kephale;;;;;;;;;;;;;x
barony_of_greek;Kephalatikion of;;;;;;;;;;;;;x
count_greek;Komes;;;;;;;;;;;;;x
count_female_greek;Komes;;;;;;;;;;;;;x
county_of_greek;Bandon of;;;;;;;;;;;;;x
barony_greek;Katepanikion;;;;;;;;;;;;;x
city_king_greek;Exarch;;;;;;;;;;;;;x
city_duke_greek;Katepano;;;;;;;;;;;;;x
city_baron_greek;Eparch;;;;;;;;;;;;;x
city_kingdom_of_greek;Exarchate of;;;;;;;;;;;;;x
city_duchy_of_greek;Katepanikion of;;;;;;;;;;;;;x
city_county_of_greek;Archontia of;;;;;;;;;;;;;x
