#CODE                          ;SED+EMF ;EMF;SWMH;OTHER;SED;VANILLA
#PB_CBs.csv;;;;;
#PB_CatholicSchism.csv;;;;;
#PB_SWMH_retinues.csv;;;;;
RETTYPE_CUL_KARANTANCI         ;        ;Vitez;Vitez;;Knight;
RETTYPE_CUL_POMMERANIAN        ;        ;Druzyna;Druzyna;;Druzhina;
RETTYPE_CUL_CROATIAN           ;        ;Uskok;Uskok;;Uskok;
RETTYPE_CUL_SERBIAN            ;        ;Vlastela;Vlastela;;Vlastela;
RETTYPE_CUL_BULGARIAN          ;        ;Bolqr;Bolqr;;Boyar;
RETTYPE_CUL_BOHEMIAN           ;        ;Rytír;Rytír;;Knight;
RETTYPE_CUL_ROMANIAN           ;        ;Calarasi;Calarasi;;Calarasi;
RETTYPE_CUL_HUNG               ;        ;Bandérium;Bandérium;;Banderium;Hussar
RETTYPE_CUL_FINNO_UGRIC        ;        ;Soturi Lempo;Soturi Lempo;;Warrior of Lempo;
RETTYPE_CUL_BALT               ;        ;Karavirs Perkons;Karavirs Perkons;;Warrior of Perkunas;Baltic Warrior
RETTYPE_CUL_NORMAN             ;        ;Chevalier;Chevalier;;Knight;
RETTYPE_CUL_SCOT               ;        ;Schiltron;Schiltron;;Sheltron;Schiltron
RETTYPE_CUL_IRISH              ;        ;Gallóglach;Gallóglach;;Gallowglass;Gallowglass
RETTYPE_CUL_NORSEGAELIC        ;        ;Gallóglach;Gallóglach;;Gallowglass;
RETTYPE_CUL_ENG                ;        ;Longbow;Longbow;;Longbow;Longbow
RETTYPE_CUL_SAXON              ;        ;Þingalið;Þingalið;;Housecarl;
RETTYPE_CUL_NORWEGIAN          ;        ;Heiðþegi;Heiðþegi;;Housecarl;
RETTYPE_CUL_DUTCH              ;        ;Goedendag Burgerwacht;Goedendag Burgerwacht;;Goedendag Burgerwacht;Goedendag Militia
RETTYPE_CUL_GERMAN             ;        ;Ritter;Ritter;;Knight;
RETTYPE_CUL_RUS                ;        ;Druzhýna;Druzhýna;;Druzhina;Druzhina
RETTYPE_CUL_POLISH             ;        ;Druzyna;Druzyna;;Druzhina;
RETTYPE_CUL_LITHUANIAN         ;        ;Perkuno Karys;Perkuno Karys;;Warrior of Perkunas;
RETTYPE_CUL_E_AFR              ;        ;Zãbãnnya;Zãbãnnya;;Guard;
RETTYPE_CUL_IRANIAN            ;        ;Khwarezmiyya;Khwarezmiyya;;Khwarezmiyya;
RETTYPE_CUL_BYZ                ;        ;Kataphraktos;Kataphraktos;;Cataphract;Cataphract
RETTYPE_CUL_TURKISH            ;        ;Sipahi;Sipahi;;Sipahi;
RETTYPE_CUL_ALTAIC             ;        ;Kheshig;Kheshig;;Kheshig;Horse Archer
RETTYPE_CUL_GEORGIAN           ;        ;Mona'spa;Mona'spa;;Royal Cavalry;
RETTYPE_CUL_ITA                ;        ;Cavaliere;Cavaliere;;Knight;Pike
RETTYPE_CUL_ARAB               ;        ;Al-Faris;Al-Faris;;Knight;Camel Warrior
RETTYPE_CUL_CATALAN            ;        ;Almughavar;Almughavar;;Almogavar;
RETTYPE_CUL_ANDALUSIAN         ;        ;Zenata;Zenata;;Zenata;Andalusian Cavalry
RETTYPE_CUL_CASTILLIAN         ;        ;Caballero;Cabellero;;Knight;
RETTYPE_CUL_PORTUGESE          ;        ;Cavaleiro;Cavaleiro;;Knight;
RETTYPE_CUL_FRANKISH           ;        ;Chevalier;Chevalier;;Knight;
RETTYPE_CUL_ARMENIAN           ;        ;Naxarar;Naxarar;;Nakharar;
RETTYPE_CUL_BASQUE             ;        ;Zaldun;Zaldun;;Knight;
RETTYPE_CUL_ESTONIAN           ;        ;Malev;Malev;;Malev;
