#CODE                                                 ;SED     ;SWMH;OTHER;VANILLA
#CODE,ENGLISH,FRENCH,GERMAN,,SPANISH,,,,,,,,,,,,,,,,,,,,,,,,0;;;;
########################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0;;;;
#GREEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0;;;;
########################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0;;;;
baron_greek                                           ;Drungary;Droungarios;;
baron_female_greek                                    ;Countess;Komissa;;
baron_title_ruler_consort_greek                       ;        ;Droungarios;;
baron_title_ruler_consort_female_greek                ;        ;Komissa;;
count_greek                                           ;Tourmarches;Tourmarches;;
count_female_greek                                    ;Tourmarchissa;Tourmarchissa;;
count_title_ruler_consort_greek                       ;        ;Tourmarches;;
count_title_ruler_consort_female_greek                ;        ;Tourmarchissa;;
duke_greek                                            ;Dux     ;Doux;;Doux
duke_female_greek                                     ;Doukissa;Doukissa;;
duke_title_ruler_consort_greek                        ;        ;Doux;;
duke_title_ruler_consort_female_greek                 ;        ;Doukissa;;
king_greek                                            ;Despot  ;Despotes;;Despot
king_female_greek                                     ;Déspoina;Despoina;;
king_title_ruler_consort_greek                        ;        ;Despotes;;
king_title_ruler_consort_female_greek                 ;        ;Despoina;;
emperor_greek                                         ;Basileus;Basileus;;Basileus
emperor_female_greek                                  ;Basilissa;Basilissa;;Basilissa
emperor_title_ruler_consort_female_greek              ;        ;Basilissa;;
title_prince_greek                                    ;Caesar  ;Kaisar;;
title_prince_female_greek                             ;Caesar  ;Kaisarissa;;
barony_of_greek                                       ;Kastron of;Kastron;;
county_of_greek                                       ;Turma of;Tourma;;
duchy_of_greek                                        ;Theme of;Thema;;
kingdom_of_greek                                      ;Despotate of;Despotate of;;
city_baron_greek                                      ;Kephale ;Kephale;;
city_count_greek                                      ;Archon  ;Archon;;
city_duke_greek                                       ;Protarchon;Protarchon;;
city_king_greek                                       ;Protodoux;Protodoux;;
city_emperor_greek                                    ;Grand Sire;Megas Kyrios;;
city_barony_of_greek                                  ;Katepanikion of;Kephalatikion;;
