#CODE                                  ;SED2    ;SWMH;OTHERSWMH;SED1;VANILLA
#CODE,ENGLISH,FRENCH,GERMAN,,SPANISH,,,,,,,,,;;;;;
########################################,,,,,,,,,,,,,,;;;;;
#JOBS,,,,,,,,,,,,,,;;;;;
########################################,,,,,,,,,,,,,,;;;;;
job_chancellor_greek                   ;Logothete of the Course;Logothetes tou Dromou;;;Magistros
job_marshal_greek                      ;Grand Domestic;Megas Domestikos;;;Protostrator
job_treasurer_greek                    ;Megas Logothetes;Megas Logothetes;;;Sakellarios
job_chancellor_welsh                   ;Chamberlain;Gwas Ystafell;;Chamberlain;
job_marshal_welsh                      ;Penteulu;Penteulu;;Family Captain;
job_treasurer_welsh                    ;Distain ;Distain;;;
job_spiritual_welsh                    ;Offeiriad Teulu;Offeiriad Teulu;;Family Priest;
job_chancellor_swedish                 ;Chancellor;Kansler;;;
job_marshal_swedish                    ;Marshal ;Marsk;;Marsk;
job_treasurer_swedish                  ;Druhtinaz;Dróttinn;;;
job_chancellor_danish                  ;Chancellor;Kansler;;;
job_marshal_danish                     ;Marshal ;Marsk;;Marsk;
job_treasurer_danish                   ;Druhtinaz;Dróttinn;;;
job_chancellor_norwegian               ;Chancellor;Kansler;;;
job_marshal_norwegian                  ;Marshal ;Marsk;;Marsk;
job_treasurer_norwegian                ;Druhtinaz;Dróttinn;;;
job_chancellor_scottish                ;Great Chamberlain;Great Chamberlain;;Great Chamberlain;
job_marshal_scottish                   ;Marischal;Marischal;;;
job_treasurer_scottish                 ;High Steward;Great Steward;;Great Steward;
job_chancellor_english                 ;Lord Chancellor;Lord Chancellor;;Lord Chancellor;
job_marshal_english                    ;Lord Constable;Lord Constable;;Lord Constable;
job_treasurer_english                  ;Lord Steward;Lord Steward;;Lord Steward;
job_spiritual_saxon                    ;Chaplain;Capellan;;;
job_chancellor_frankish                ;Chancellor;Chancelier;;;
job_marshal_frankish                   ;Constable;Connétable;;Constable;
job_treasurer_frankish                 ;Seneschal;Sénéchal;;Seneschal;
job_chancellor_occitan                 ;Chancellor;Chancelier;;;
job_marshal_occitan                    ;Constable;Connétable;;Constable;
job_treasurer_occitan                  ;Seneschal;Sénéchal;;Seneschal;
job_marshal_castillan                  ;Alférez ;Alférez;;Armour-Bearer;
job_chancellor_catalan                 ;Chancellor;Canceller;;;
job_marshal_catalan                    ;Seneschal;Senescal;;Armour-Bearer;
job_spymaster_catalan                  ;Torsimany;Torsimany;;;
job_treasurer_catalan                  ;Mestre Racional;Mestre Racional;;;
job_spiritual_catalan                  ;Confessor;Confessor;;;
job_viceroy name_catalan               ;Viceroy ;Virrei;;;
job_treasurer_norman                   ;Bailli  ;Bailli;;;
job_chancellor_polish                  ;Chancellor;Kanclerz;;;
job_marshal_polish                     ;Marszalek;Marszalek;;;
job_treasurer_polish                   ;Chamberlain;Podkomorzy;;;
job_spymaster_polish                   ;Deputy Chancellor;Podkanclerzy;;;
job_spiritual_polish                   ;Chaplain;Kapelan;;;
job_marshal_serbian                    ;Voivode ;Vojvoda;;;
job_treasurer_serbian                  ;Chamberlain;Komornik;;;
job_chancellor_russian                 ;Dyak    ;Dyak;;;
job_marshal_russian                    ;Voivode ;Voevoda;;;
job_treasurer_russian                  ;Tiun    ;Tiun;;;
job_spiritual_russian                  ;Confessor;Duhovnik;;Confessor;
job_spymaster_russian                  ;        ;Tayny Sovetnik;;;
job_chancellor_hungarian               ;        ;Intézö;;;
job_marshal_hungarian                  ;        ;Hadvezér;;;
job_treasurer_hungarian                ;        ;Kamarás;;Chamberlain;
job_spiritual_hungarian                ;        ;Udvari Káplán;;;
job_spymaster_hungarian                ;        ;Kém;;;
job_chancellor_andalusian_arabic       ;        ;Grand Vizier;;;
