#CODE                                   ;SED2    ;SWMH;OTHERSWMH;SED1;VANILLA
#CODE;SED2;ENGLISH;;ENGLISH;ENGLISH
########################;;;;;
#HRE;;;;;
#######################;;;;;
e_hre                                   ;Holy Roman Empire;Heiliges Römisches Reich;;Holy Roman Empire;Holy Roman Empire
e_hre_adj                               ;Imperial;Kaiserliche;;Holy Roman;Holy Roman
k_germany                               ;Germany ;Deutschland;;;Germany
k_germany_adj                           ;German  ;Deutsche;;;German
k_lotharingia                           ;Lotharingia;Lotharingen;;Lotharingia;Middle Francia
k_lotharingia_adj                       ;Lotharingian;Lotharingi;;Lotharingian;Middle Francian
#Lower Lothringa;;;;;
k_lower_lorraine                        ;Lower Lorraine;Niederlothringen;Neder Lotharingen,Niederlothringen,Basse Lotharingie;Lower Lorraine;
k_lower_lorraine_adj                    ;Lower Lorrainian;Niederlothringische;;Lower Lorraine;
d_julich                                ;Jülich  ;Jülich;;Jülich;
d_julich_adj                            ;        ;Jülichische;;Jülichian;
d_limburg                               ;Limburg ;Limburg;Limbourg;Limburg;
d_limburg_adj                           ;        ;Limburgse;;Limbürgish;
d_berg                                  ;Jülich-Cleves-Berg;Jülich-Kleve-Berg;Juliers-Cléves-Berg,Gulik-Kleef-Berg;Jülich-Kleve-Berg;
d_berg_adj                              ;Lower Rhenish;Niederrheinische;;Jülich-Klevian;
d_koln                                  ;Cologne ;Köln;Keulen,Cologne;Cologne;Köln
d_koln_adj                              ;Colognian;Kölsche;;Colognian;Colognian
d_liege                                 ;Liège   ;Liége;Lüttich,Luik,Liége;Liege;
d_liege_adj                             ;        ;Liégeois;;Liegian;
d_hainaut                               ;Hainaut ;Hainaut;Hennegau,Henegouwen;Hainaut;
d_hainaut_adj                           ;Walloon ;Wallon;;Wallonian;
#Saxony;;;;;
k_saxony                                ;Saxony  ;Sachsen;;Saxony;Saxony
k_saxony_adj                            ;Saxon   ;Sächsische;;Saxon;
