#CODE;ENGLISH;ENGLISH
########################################;;
#Norwegian;;
########################################;;
PROV271;;Vestfold
PROV272;;Vingulmörk
PROV296;;Ránríki
PROV270;;Þelamørk
PROV268;;Egðafylki
PROV274;;Horðaland
PROV269;;Rygjafylki
PROV391;;Norðmœri
PROV275;;Strindafylki
PROV278;;Hálogaland
PROV277;;Naumdœlfylki
PROV389;;Finnmörk
PROV276;;Heiðmørk
PROV282;;Jamtaland
PROV284;;Herjárdalr
PROV273;;Hringaríki
########################################;;
#Danish;;
########################################;;
PROV264;;Sliesvík
PROV265;;Fyun
PROV266;;Østær Syäland
PROV267;;Ábúsýsl
PROV305;;Burghændæholm
PROV303;;Væstær Skaane
PROV6;;Blekyng
########################################;;
#Swedish;;
########################################;;
PROV298;;Njudung
PROV294;;Nerike
PROV297;;Lödöse
PROV288;;Värmilland
PROV285;;Alir
PROV283;;Sunded
PROV280;;Norrland
PROV290;;Tiundaland
########################################;;
#Polish;;
########################################;;
PROV428;;Kujawy
PROV429;;Gniezno
PROV430;;Lubusz
PROV431;;Poznan
PROV432;;Kalisz
PROV435;;Glogów
PROV434;;Wroclaw
PROV527;;Krakow
PROV528;;Sieradz
PROV530;;Czersk
PROV531;;Sandomierz
PROV532;;Sacz
########################################;;
#Balkans;;
########################################;;
PROV459;;Krk
PROV460;;Zagorje
PROV462;;Vukova
PROV464;;Lika
PROV466;;Podgorje
PROV503;;Podrinje
PROV504;;Rama
PROV465;;Zadar
PROV467;;Cetina
PROV505;;Belgrad
PROV469;;Crna Gora
PROV507;;Kran
PROV498;;Zagore
PROV493;;Plovdiv
PROV508;;Preslav
PROV500;;Sredets
PROV499;;Tarnovo
PROV508;;Niš
PROV471;;Ohrid
PROV494;;Adrianopol
PROV468;;Dubrovnik
PROV510;;Konstanta
########################################;;
#German territories;;
########################################;;
PROV89;;Kleve
PROV120;;Grone
PROV259;;Lippe
PROV311;;Bayreuth
PROV359;;Traungau
PROV364;;Oberlausitz
PROV448;;Salzburg
PROV457;;Carniola
PROV261;;Stormarn
PROV248;;Thurgau
PROV249;;Montfort
PROV244;;Zähringen
PROV447;;Ortenburg
PROV127;;Blâmont
PROV133;;Vaudémont
PROV117;;Leuven
PROV122;;Wertheim
PROV92;;Antwerp
PROV94;;Mons
PROV263;;Eselsfleth
PROV458;;Merania
########################################;;
#Bohemia;;
########################################;;
PROV438;;Hradec
PROV440;;Olomovc
PROV439;;Plzen
PROV362;;Doudleby
PROV363;;Litomirice
PROV436;;Kladsko
PROV437;;Praha
PROV508;;Boruy
PROV446;;Znoymo
########################################;;
#Burgundy;;
########################################;;
PROV229;;Auta Provença
PROV230;;Nissa
PROV228;;Viennois
PROV237;;Savoia
PROV135;;Besancon
########################################;;
#Italy;;
########################################;;
PROV246;;Ticino
PROV324;;Cinarca
PROV235;;Milano
PROV347;;Melfi
########################################;;
#Wales;;
########################################;;
PROV19;;Glywysing
PROV18;;Dyfed
PROV65;;Maelor
########################################;;
#Hungary;;
########################################;;
PROV442;;Trencsén
PROV443;;Nyitra
PROV444;;Visegrád
PROV445;;Pozsony
PROV450;;Sopron
PROV451;;Fejér
PROV452;;Tolna
PROV453;;Csongrád
PROV454;;Kolon
PROV517;;Temes
PROV518;;Bodrog
PROV519;;Fehér
PROV520;;Bihar
PROV522;;Szatmár
PROV523;;Heves
PROV524;;Gyõr
PROV525;;Árva
PROV533;;Borsod
PROV537;;Somogy
PROV538;;Abauj
PROV539;;Veszprém
PROV540;;Doboka
########################################;;
#Sicily;;
########################################;;
PROV339;;Messina
PROV340;;Palermu
PROV341;;Tràpani
PROV342;;Girgenti
PROV343;;Sarausa
########################################;;
#Italy;;
########################################;;
PROV338;;Gerace
