baron_greek;Drungary;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baron_female_greek;Countess;;;;;;;;;;;;;;;;;;;;;;;;;;;;
count_greek;Tourmarches;;;;;;;;;;;;;;;;;;;;;;;;;;;;
count_female_greek;Tourmarchissa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
duke_greek;Dux;;;;;;;;;;;;;;;;;;;;;;;;;;;;
duke_female_greek;Doukissa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
king_greek;Despot;;;;;;;;;;;;;;;;;;;;;;;;;;;;
king_female_greek;Déspoina;;;;;;;;;;;;;;;;;;;;;;;;;;;;
emperor_greek;Basileus;;;;;;;;;;;;;;;;;;;;;;;;;;;;
emperor_female_greek;Basilissa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
title_prince_greek;Caesar;;;;;;;;;;;;;;;;;;;;;;;;;;;;
title_prince_female_greek;Caesar;;;;;;;;;;;;;;;;;;;;;;;;;;;;
barony_of_greek;Kastron of;;;;;;;;;;;;;;;;;;;;;;;;;;;;
county_of_greek;Turma of;;;;;;;;;;;;;;;;;;;;;;;;;;;;
duchy_of_greek;Theme of;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kingdom_of_greek;Despotate of;;;;;;;;;;;;;;;;;;;;;;;;;;;;
city_baron_greek;Kephale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
city_count_greek;Archon;;;;;;;;;;;;;;;;;;;;;;;;;;;;
city_duke_greek;Protarchon;;;;;;;;;;;;;;;;;;;;;;;;;;;;
city_king_greek;Protodoux;;;;;;;;;;;;;;;;;;;;;;;;;;;;
city_emperor_greek;Grand Sire;;;;;;;;;;;;;;;;;;;;;;;;;;;;
city_barony_of_greek;Katepanikion of;;;;;;;;;;;;;;;;;;;;;;;;;;;;
city_county_of_greek;Polis of;;;;;;;;;;;;;;;;;;;;;;;;;;;;
city_duchy_of_greek;Politeia of;;;;;;;;;;;;;;;;;;;;;;;;;;;;
city_kingdom_of_greek;Archipoliteia of;;;;;;;;;;;;;;;;;;;;;;;;;;;;
city_empire_of_greek;Dynasty of;;;;;;;;;;;;;;;;;;;;;;;;;;;;
temple_count_greek;Bishop;;;;;;;;;;;;;;;;;;;;;;;;;;;;
temple_duke_greek;Archbishop;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vice_royalty_count_greek;Strategos;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vice_royalty_duke_greek;Strategos;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vice_royalty_king_greek;Exarch;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vice_royalty_duchy_of_byzantine;Theme of;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baron_danish;Herra;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baron_gothic;Herra;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baron_icelandic;Herra;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baron_swedish;Herra;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baron_norwegian;Herra;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baron_female_danish;Mistress;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baron_female_gothic;Mistress;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baron_female_icelandic;Mistress;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baron_female_swedish;Mistress;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baron_female_norwegian;Mistress;;;;;;;;;;;;;;;;;;;;;;;;;;;;
count_norse;Thegn;;;;;;;;;;;;;;;;;;;;;;;;;;;;
count_danish;Herra;;;;;;;;;;;;;;;;;;;;;;;;;;;;
count_icelandic;Landnámaður;;;;;;;;;;;;;;;;;;;;;;;;;;;;
count_gothic;Herra;;;;;;;;;;;;;;;;;;;;;;;;;;;;
count_swedish;Herra;;;;;;;;;;;;;;;;;;;;;;;;;;;;
count_norwegian;Lendmann;;;;;;;;;;;;;;;;;;;;;;;;;;;;
count_female_icelandic;Mistress;;;;;;;;;;;;;;;;;;;;;;;;;;;;
count_female_gothic;Mistress;;;;;;;;;;;;;;;;;;;;;;;;;;;;
count_female_danish;Mistress;;;;;;;;;;;;;;;;;;;;;;;;;;;;
count_female_swedish;Mistress;;;;;;;;;;;;;;;;;;;;;;;;;;;;
count_female_norwegian;Mistress;;;;;;;;;;;;;;;;;;;;;;;;;;;;
duke_danish;Jarl;;;;;;;;;;;;;;;;;;;;;;;;;;;;
duke_icelandic;Jarl;;;;;;;;;;;;;;;;;;;;;;;;;;;;
duke_gothic;Jarl;;;;;;;;;;;;;;;;;;;;;;;;;;;;
duke_swedish;Jarl;;;;;;;;;;;;;;;;;;;;;;;;;;;;
duke_norwegian;Jarl;;;;;;;;;;;;;;;;;;;;;;;;;;;;
duke_female_danish;Mistress;;;;;;;;;;;;;;;;;;;;;;;;;;;;
duke_female_gothic;Mistress;;;;;;;;;;;;;;;;;;;;;;;;;;;;
duke_female_icelandic;Mistress;;;;;;;;;;;;;;;;;;;;;;;;;;;;
duke_female_swedish;Mistress;;;;;;;;;;;;;;;;;;;;;;;;;;;;
duke_female_norwegian;Mistress;;;;;;;;;;;;;;;;;;;;;;;;;;;;
king_danish;King;;;;;;;;;;;;;;;;;;;;;;;;;;;;
king_gothic;King;;;;;;;;;;;;;;;;;;;;;;;;;;;;
king_icelandic;King;;;;;;;;;;;;;;;;;;;;;;;;;;;;
king_norse;King;;;;;;;;;;;;;;;;;;;;;;;;;;;;
king_swedish;King;;;;;;;;;;;;;;;;;;;;;;;;;;;;
king_norwegian;King;;;;;;;;;;;;;;;;;;;;;;;;;;;;
king_female_norse;Queen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
king_female_icelandic;Queen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
king_female_gothic;Queen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
king_female_danish;Queen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
king_female_swedish;Queen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
king_female_norwegian;Queen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
emperor_icelandic;Emperor;;;;;;;;;;;;;;;;;;;;;;;;;;;;
emperor_gothic;Emperor;;;;;;;;;;;;;;;;;;;;;;;;;;;;
